Storm ID,TBRG Time Stamp,Cumulative Storm Time (hours),Cumulative Rainfall (mm)
Ex_Tips_2024_06_26,2024-06-26 13:59:36,0.0,0.2
Ex_Tips_2024_06_26,2024-06-26 14:04:20,0.08,0.4
Ex_Tips_2024_06_26,2024-06-26 14:09:14,0.16,0.6
Ex_Tips_2024_06_26,2024-06-26 14:13:29,0.23,0.8
Ex_Tips_2024_06_26,2024-06-26 14:17:26,0.3,1.0
Ex_Tips_2024_06_26,2024-06-26 14:19:32,0.33,1.2
Ex_Tips_2024_06_26,2024-06-26 14:21:20,0.36,1.4
Ex_Tips_2024_06_26,2024-06-26 14:22:42,0.38,1.6
Ex_Tips_2024_06_26,2024-06-26 14:24:56,0.42,1.8
Ex_Tips_2024_06_26,2024-06-26 14:27:10,0.46,2.0
Ex_Tips_2024_06_26,2024-06-26 14:30:48,0.52,2.2
Ex_Tips_2024_06_26,2024-06-26 14:31:51,0.54,2.4
Ex_Tips_2024_06_26,2024-06-26 14:33:05,0.56,2.6
Ex_Tips_2024_06_26,2024-06-26 14:33:47,0.57,2.8
Ex_Tips_2024_06_26,2024-06-26 14:35:10,0.59,3.0
Ex_Tips_2024_06_26,2024-06-26 14:36:04,0.61,3.2
Ex_Tips_2024_06_26,2024-06-26 14:38:01,0.64,3.4
Ex_Tips_2024_06_26,2024-06-26 14:39:23,0.66,3.6
Ex_Tips_2024_06_26,2024-06-26 14:41:50,0.7,3.8
Ex_Tips_2024_06_26,2024-06-26 14:43:14,0.73,4.0
Ex_Tips_2024_06_26,2024-06-26 14:45:16,0.76,4.2
Ex_Tips_2024_06_26,2024-06-26 14:47:03,0.79,4.4
Ex_Tips_2024_06_26,2024-06-26 14:48:53,0.82,4.6
Ex_Tips_2024_06_26,2024-06-26 14:50:40,0.85,4.8
Ex_Tips_2024_06_26,2024-06-26 14:53:08,0.89,5.0
Ex_Tips_2024_06_26,2024-06-26 14:55:28,0.93,5.2
Ex_Tips_2024_06_26,2024-06-26 14:59:48,1.0,5.4
Ex_Tips_2024_06_26,2024-06-26 15:03:53,1.07,5.6
Ex_Tips_2024_06_26,2024-06-26 15:11:39,1.2,5.8
Ex_Tips_2024_06_26,2024-06-26 15:17:11,1.29,6.0
