SEPARATE - Summary Storm Event Output Table
Version 1.1 (12/01/2025)
Licensed under the MIT License.

Dataset ID:,Ex_Tips
Record Start Date:,2024-06-26
Record End Date:,2024-09-28
Tipping Bucket Record Type:,Cumulative Tips
Tip Magnitude:,0.2
Tip Units:,mm
Logging Interval (min):,N/A
Fixed MIT Selection Criterion:,Independent Storms Criterion (ISC)
Minimum Inter-Event Time (hours):,4.61
Total Number of Storms in Record:,15
Number of Storms Suppressed:,4
Minimum Storm Depth (mm):,0.2
Minimum Storm Duration (hrs):,0.2
Record Separated On:,2025-12-04
Data Input File:,C:/Users/Scott/Desktop/Example_Datasets/ExampleData_CumulativeTips.csv

Minimum_Storm_Separation_Time,Coefficient_of_Variation,Mean,Standard_Deviation,Number_of_Included_Storms,Number_of_Suppressed_Storms
hours,-,hours,hours,-,-
0.1,3.832,28.84,110.52,16.0,157.0
0.2,3.081,30.41,93.69,22.0,65.0
0.30000000000000004,1.837,63.78,117.13,27.0,35.0
0.4,1.934,62.1,120.13,26.0,29.0
0.5,2.008,59.79,120.06,25.0,20.0
0.6,1.799,71.56,128.74,21.0,17.0
0.7000000000000001,1.679,79.49,133.48,19.0,14.0
0.8,1.504,88.9,133.73,19.0,13.0
0.9,1.6,82.6,132.13,20.0,11.0
1.0,1.6,82.6,132.13,20.0,11.0
2.0,1.381,144.56,199.69,16.0,5.0
3.0,1.231,167.21,205.9,14.0,4.0
4.0,1.082,195.89,211.98,12.0,4.0
5.0,0.948,215.8,204.68,11.0,3.0
6.0,0.948,215.8,204.68,11.0,3.0
7.0,0.948,215.8,204.68,11.0,3.0
8.0,0.948,215.8,204.68,11.0,3.0
9.0,0.948,215.8,204.68,11.0,3.0
10.0,0.957,214.86,205.62,11.0,2.0
11.0,0.957,214.86,205.62,11.0,2.0
12.0,0.957,214.86,205.62,11.0,2.0
13.0,0.874,235.97,206.29,10.0,2.0
14.0,0.874,235.97,206.29,10.0,2.0
15.0,0.874,235.97,206.29,10.0,2.0
16.0,0.874,235.97,206.29,10.0,2.0
17.0,0.874,235.97,206.29,10.0,2.0
18.0,0.874,235.97,206.29,10.0,2.0
19.0,0.874,235.97,206.29,10.0,2.0
20.0,0.874,235.97,206.29,10.0,2.0
21.0,0.874,235.97,206.29,10.0,2.0
22.0,0.874,235.97,206.29,10.0,2.0
23.0,0.874,235.97,206.29,10.0,2.0
24.0,0.874,235.97,206.29,10.0,2.0
25.0,0.793,229.45,181.99,10.0,1.0
26.0,0.793,229.45,181.99,10.0,1.0
27.0,0.793,229.45,181.99,10.0,1.0
28.0,0.793,229.45,181.99,10.0,1.0
29.0,0.793,229.45,181.99,10.0,1.0
30.0,0.793,229.45,181.99,10.0,1.0
31.0,0.793,229.45,181.99,10.0,1.0
32.0,0.793,229.45,181.99,10.0,1.0
33.0,0.793,229.45,181.99,10.0,1.0
34.0,0.793,229.45,181.99,10.0,1.0
35.0,0.793,229.45,181.99,10.0,1.0
36.0,0.793,229.45,181.99,10.0,1.0
37.0,0.793,229.45,181.99,10.0,1.0
38.0,0.793,229.45,181.99,10.0,1.0
39.0,0.793,229.45,181.99,10.0,1.0
40.0,0.793,229.45,181.99,10.0,1.0
41.0,0.793,229.45,181.99,10.0,1.0
42.0,0.793,229.45,181.99,10.0,1.0
43.0,0.793,229.45,181.99,10.0,1.0
44.0,0.793,229.45,181.99,10.0,1.0
45.0,0.793,229.45,181.99,10.0,1.0
46.0,0.793,229.45,181.99,10.0,1.0
47.0,0.793,229.45,181.99,10.0,1.0
48.0,0.793,229.45,181.99,10.0,1.0
