Storm ID,Cumulative Storm Time (hours),Intensity Profile (mm/hr)
Ex_Tips_2024_06_26,0.25,2.63
Ex_Tips_2024_06_26,0.2667,2.66
Ex_Tips_2024_06_26,0.2833,2.69
Ex_Tips_2024_06_26,0.3,2.76
Ex_Tips_2024_06_26,0.3167,2.97
Ex_Tips_2024_06_26,0.3333,3.19
Ex_Tips_2024_06_26,0.35,3.47
Ex_Tips_2024_06_26,0.3667,3.79
Ex_Tips_2024_06_26,0.3833,4.21
Ex_Tips_2024_06_26,0.4,4.43
Ex_Tips_2024_06_26,0.4167,4.61
Ex_Tips_2024_06_26,0.4333,4.78
Ex_Tips_2024_06_26,0.45,4.95
Ex_Tips_2024_06_26,0.4667,5.06
Ex_Tips_2024_06_26,0.4833,5.09
Ex_Tips_2024_06_26,0.5,5.11
Ex_Tips_2024_06_26,0.5167,5.13
Ex_Tips_2024_06_26,0.5333,5.58
Ex_Tips_2024_06_26,0.55,6.02
Ex_Tips_2024_06_26,0.5667,6.55
Ex_Tips_2024_06_26,0.5833,6.84
Ex_Tips_2024_06_26,0.6,7.11
Ex_Tips_2024_06_26,0.6167,7.26
Ex_Tips_2024_06_26,0.6333,7.09
Ex_Tips_2024_06_26,0.65,7.22
Ex_Tips_2024_06_26,0.6667,7.39
Ex_Tips_2024_06_26,0.6833,7.36
Ex_Tips_2024_06_26,0.7,7.33
Ex_Tips_2024_06_26,0.7167,7.54
Ex_Tips_2024_06_26,0.7333,7.83
Ex_Tips_2024_06_26,0.75,8.0
Ex_Tips_2024_06_26,0.7667,8.19
Ex_Tips_2024_06_26,0.7833,7.99
Ex_Tips_2024_06_26,0.8,7.75
Ex_Tips_2024_06_26,0.8167,7.29
Ex_Tips_2024_06_26,0.8333,7.05
Ex_Tips_2024_06_26,0.85,6.78
Ex_Tips_2024_06_26,0.8667,6.48
Ex_Tips_2024_06_26,0.8833,6.4
Ex_Tips_2024_06_26,0.9,6.22
Ex_Tips_2024_06_26,0.9167,6.03
Ex_Tips_2024_06_26,0.9333,6.03
Ex_Tips_2024_06_26,0.95,5.89
Ex_Tips_2024_06_26,0.9667,5.56
Ex_Tips_2024_06_26,0.9833,5.23
Ex_Tips_2024_06_26,1.0,5.03
Ex_Tips_2024_06_26,1.0167,4.81
Ex_Tips_2024_06_26,1.0333,4.55
Ex_Tips_2024_06_26,1.05,4.31
Ex_Tips_2024_06_26,1.0667,4.07
Ex_Tips_2024_06_26,1.0833,3.75
Ex_Tips_2024_06_26,1.1,3.41
Ex_Tips_2024_06_26,1.1167,3.18
Ex_Tips_2024_06_26,1.1333,2.96
Ex_Tips_2024_06_26,1.15,2.73
Ex_Tips_2024_06_26,1.1667,2.49
Ex_Tips_2024_06_26,1.1833,2.27
Ex_Tips_2024_06_26,1.2,2.19
Ex_Tips_2024_06_26,1.2167,2.14
Ex_Tips_2024_06_26,1.2333,2.1
Ex_Tips_2024_06_26,1.25,2.06
Ex_Tips_2024_06_26,1.2667,2.01
Ex_Tips_2024_06_26,1.2833,1.96
Ex_Tips_2024_06_26,1.3,1.98
Ex_Tips_2024_06_26,1.3167,2.08
Ex_Tips_2024_06_26,1.3333,2.25
Ex_Tips_2024_06_26,1.35,2.87
Ex_Tips_2024_06_26,1.3667,2.98
Ex_Tips_2024_06_26,1.3833,2.95
Ex_Tips_2024_06_26,1.4,2.92
Ex_Tips_2024_06_26,1.4167,2.89
Ex_Tips_2024_06_26,1.4333,2.85
Ex_Tips_2024_06_26,1.45,2.82
Ex_Tips_2024_06_26,1.4667,2.75
Ex_Tips_2024_06_26,1.4833,2.68
Ex_Tips_2024_06_26,1.5,2.61
Ex_Tips_2024_06_26,1.5167,2.54
Ex_Tips_2024_06_26,1.5333,2.46
Ex_Tips_2024_06_30,0.25,1.24
Ex_Tips_2024_06_30,0.2667,1.23
Ex_Tips_2024_06_30,0.2833,1.21
Ex_Tips_2024_06_30,0.3,1.2
Ex_Tips_2024_06_30,0.3167,1.18
Ex_Tips_2024_06_30,0.3333,1.16
Ex_Tips_2024_06_30,0.35,1.16
Ex_Tips_2024_06_30,0.3667,1.15
Ex_Tips_2024_06_30,0.3833,1.14
Ex_Tips_2024_06_30,0.4,1.13
Ex_Tips_2024_06_30,0.4167,1.14
Ex_Tips_2024_06_30,0.4333,1.15
Ex_Tips_2024_06_30,0.45,1.16
Ex_Tips_2024_06_30,0.4667,1.16
Ex_Tips_2024_06_30,0.4833,1.17
Ex_Tips_2024_06_30,0.5,1.19
Ex_Tips_2024_06_30,0.5167,1.25
Ex_Tips_2024_06_30,0.5333,1.31
Ex_Tips_2024_06_30,0.55,1.37
Ex_Tips_2024_06_30,0.5667,1.43
Ex_Tips_2024_06_30,0.5833,1.49
Ex_Tips_2024_06_30,0.6,1.53
Ex_Tips_2024_06_30,0.6167,1.55
Ex_Tips_2024_06_30,0.6333,1.57
Ex_Tips_2024_06_30,0.65,1.6
Ex_Tips_2024_06_30,0.6667,1.62
Ex_Tips_2024_06_30,0.6833,1.64
Ex_Tips_2024_06_30,0.7,1.66
Ex_Tips_2024_06_30,0.7167,1.69
Ex_Tips_2024_06_30,0.7333,1.77
Ex_Tips_2024_06_30,0.75,1.89
Ex_Tips_2024_06_30,0.7667,1.99
Ex_Tips_2024_06_30,0.7833,2.08
Ex_Tips_2024_06_30,0.8,2.06
Ex_Tips_2024_06_30,0.8167,2.03
Ex_Tips_2024_06_30,0.8333,2.0
Ex_Tips_2024_06_30,0.85,1.98
Ex_Tips_2024_06_30,0.8667,1.98
Ex_Tips_2024_06_30,0.8833,1.98
Ex_Tips_2024_06_30,0.9,1.97
Ex_Tips_2024_06_30,0.9167,1.97
Ex_Tips_2024_06_30,0.9333,1.94
Ex_Tips_2024_06_30,0.95,1.91
Ex_Tips_2024_06_30,0.9667,1.87
Ex_Tips_2024_06_30,0.9833,1.78
Ex_Tips_2024_06_30,1.0,1.63
Ex_Tips_2024_06_30,1.0167,1.48
Ex_Tips_2024_06_30,1.0333,1.33
Ex_Tips_2024_06_30,1.05,1.28
Ex_Tips_2024_06_30,1.0667,1.25
Ex_Tips_2024_06_30,1.0833,1.22
Ex_Tips_2024_06_30,1.1,1.19
Ex_Tips_2024_06_30,1.1167,1.14
Ex_Tips_2024_06_30,1.1333,1.1
Ex_Tips_2024_06_30,1.15,1.05
Ex_Tips_2024_06_30,1.1667,1.01
Ex_Tips_2024_06_30,1.1833,0.99
Ex_Tips_2024_06_30,1.2,0.98
Ex_Tips_2024_06_30,1.2167,0.96
Ex_Tips_2024_06_30,1.2333,0.95
Ex_Tips_2024_06_30,1.25,0.93
Ex_Tips_2024_06_30,1.2667,0.92
Ex_Tips_2024_06_30,1.2833,0.9
Ex_Tips_2024_06_30,1.3,0.89
Ex_Tips_2024_06_30,1.3167,0.87
Ex_Tips_2024_06_30,1.3333,0.85
Ex_Tips_2024_06_30,1.35,0.83
Ex_Tips_2024_06_30,1.3667,0.82
Ex_Tips_2024_06_30,1.3833,0.81
Ex_Tips_2024_06_30,1.4,0.8
Ex_Tips_2024_06_30,1.4167,0.79
Ex_Tips_2024_06_30,1.4333,0.79
Ex_Tips_2024_06_30,1.45,0.78
Ex_Tips_2024_06_30,1.4667,0.77
Ex_Tips_2024_06_30,1.4833,0.76
Ex_Tips_2024_06_30,1.5,0.75
Ex_Tips_2024_06_30,1.5167,0.74
Ex_Tips_2024_06_30,1.5333,0.73
Ex_Tips_2024_06_30,1.55,0.72
Ex_Tips_2024_06_30,1.5667,0.71
Ex_Tips_2024_06_30,1.5833,0.7
Ex_Tips_2024_06_30,1.6,0.7
Ex_Tips_2024_06_30,1.6167,0.7
Ex_Tips_2024_06_30,1.6333,0.69
Ex_Tips_2024_06_30,1.65,0.68
Ex_Tips_2024_06_30,1.6667,0.66
Ex_Tips_2024_06_30,1.6833,0.65
Ex_Tips_2024_06_30,1.7,0.63
Ex_Tips_2024_06_30,1.7167,0.62
Ex_Tips_2024_06_30,1.7333,0.6
Ex_Tips_2024_06_30,1.75,0.59
Ex_Tips_2024_06_30,1.7667,0.57
Ex_Tips_2024_06_30,1.7833,0.56
Ex_Tips_2024_06_30,1.8,0.54
Ex_Tips_2024_06_30,1.8167,0.53
Ex_Tips_2024_06_30,1.8333,0.51
Ex_Tips_2024_06_30,1.85,0.49
Ex_Tips_2024_06_30,1.8667,0.48
Ex_Tips_2024_06_30,1.8833,0.47
Ex_Tips_2024_06_30,1.9,0.47
Ex_Tips_2024_06_30,1.9167,0.47
Ex_Tips_2024_06_30,1.9333,0.47
Ex_Tips_2024_06_30,1.95,0.47
Ex_Tips_2024_06_30,1.9667,0.47
Ex_Tips_2024_06_30,1.9833,0.47
Ex_Tips_2024_06_30,2.0,0.47
Ex_Tips_2024_06_30,2.0167,0.47
Ex_Tips_2024_06_30,2.0333,0.47
Ex_Tips_2024_06_30,2.05,0.47
Ex_Tips_2024_06_30,2.0667,0.46
Ex_Tips_2024_06_30,2.0833,0.45
Ex_Tips_2024_06_30,2.1,0.44
Ex_Tips_2024_06_30,2.1167,0.43
Ex_Tips_2024_06_30,2.1333,0.42
Ex_Tips_2024_06_30,2.15,0.41
Ex_Tips_2024_06_30,2.1667,0.4
Ex_Tips_2024_06_30,2.1833,0.39
Ex_Tips_2024_06_30,2.2,0.38
Ex_Tips_2024_06_30,2.2167,0.36
Ex_Tips_2024_06_30,2.2333,0.35
Ex_Tips_2024_06_30,2.25,0.34
Ex_Tips_2024_06_30,2.2667,0.33
Ex_Tips_2024_06_30,2.2833,0.32
Ex_Tips_2024_06_30,2.3,0.31
Ex_Tips_2024_06_30,2.3167,0.31
Ex_Tips_2024_06_30,2.3333,0.31
Ex_Tips_2024_06_30,2.35,0.31
Ex_Tips_2024_06_30,2.3667,0.31
Ex_Tips_2024_06_30,2.3833,0.31
Ex_Tips_2024_06_30,2.4,0.31
Ex_Tips_2024_06_30,2.4167,0.31
Ex_Tips_2024_06_30,2.4333,0.31
Ex_Tips_2024_06_30,2.45,0.31
Ex_Tips_2024_06_30,2.4667,0.31
Ex_Tips_2024_06_30,2.4833,0.31
Ex_Tips_2024_06_30,2.5,0.31
Ex_Tips_2024_06_30,2.5167,0.31
Ex_Tips_2024_06_30,2.5333,0.31
Ex_Tips_2024_06_30,2.55,0.31
Ex_Tips_2024_06_30,2.5667,0.31
Ex_Tips_2024_06_30,2.5833,0.31
Ex_Tips_2024_06_30,2.6,0.31
Ex_Tips_2024_06_30,2.6167,0.31
Ex_Tips_2024_06_30,2.6333,0.31
Ex_Tips_2024_06_30,2.65,0.31
Ex_Tips_2024_06_30,2.6667,0.31
Ex_Tips_2024_06_30,2.6833,0.31
Ex_Tips_2024_06_30,2.7,0.31
Ex_Tips_2024_06_30,2.7167,0.31
Ex_Tips_2024_06_30,2.7333,0.31
Ex_Tips_2024_06_30,2.75,0.3
Ex_Tips_2024_06_30,2.7667,0.3
Ex_Tips_2024_06_30,2.7833,0.3
Ex_Tips_2024_06_30,2.8,0.3
Ex_Tips_2024_06_30,2.8167,0.3
Ex_Tips_2024_06_30,2.8333,0.3
Ex_Tips_2024_06_30,2.85,0.3
Ex_Tips_2024_06_30,2.8667,0.3
Ex_Tips_2024_06_30,2.8833,0.3
Ex_Tips_2024_06_30,2.9,0.29
Ex_Tips_2024_06_30,2.9167,0.29
Ex_Tips_2024_06_30,2.9333,0.29
Ex_Tips_2024_06_30,2.95,0.29
Ex_Tips_2024_06_30,2.9667,0.29
Ex_Tips_2024_06_30,2.9833,0.29
Ex_Tips_2024_06_30,3.0,0.29
Ex_Tips_2024_06_30,3.0167,0.29
Ex_Tips_2024_06_30,3.0333,0.29
Ex_Tips_2024_06_30,3.05,0.29
Ex_Tips_2024_06_30,3.0667,0.29
Ex_Tips_2024_06_30,3.0833,0.29
Ex_Tips_2024_06_30,3.1,0.29
Ex_Tips_2024_06_30,3.1167,0.29
Ex_Tips_2024_06_30,3.1333,0.29
Ex_Tips_2024_06_30,3.15,0.29
Ex_Tips_2024_06_30,3.1667,0.29
Ex_Tips_2024_06_30,3.1833,0.29
Ex_Tips_2024_06_30,3.2,0.29
Ex_Tips_2024_06_30,3.2167,0.29
Ex_Tips_2024_06_30,3.2333,0.29
Ex_Tips_2024_06_30,3.25,0.29
Ex_Tips_2024_06_30,3.2667,0.29
Ex_Tips_2024_06_30,3.2833,0.29
Ex_Tips_2024_06_30,3.3,0.29
Ex_Tips_2024_06_30,3.3167,0.29
Ex_Tips_2024_06_30,3.3333,0.29
Ex_Tips_2024_06_30,3.35,0.29
Ex_Tips_2024_06_30,3.3667,0.29
Ex_Tips_2024_06_30,3.3833,0.29
Ex_Tips_2024_06_30,3.4,0.37
Ex_Tips_2024_06_30,3.4167,0.53
Ex_Tips_2024_06_30,3.4333,0.7
Ex_Tips_2024_06_30,3.45,0.86
Ex_Tips_2024_06_30,3.4667,1.02
Ex_Tips_2024_06_30,3.4833,1.18
Ex_Tips_2024_06_30,3.5,1.34
Ex_Tips_2024_06_30,3.5167,1.5
Ex_Tips_2024_06_30,3.5333,1.66
Ex_Tips_2024_06_30,3.55,1.9
Ex_Tips_2024_06_30,3.5667,2.17
Ex_Tips_2024_06_30,3.5833,2.45
Ex_Tips_2024_06_30,3.6,2.78
Ex_Tips_2024_06_30,3.6167,3.12
Ex_Tips_2024_06_30,3.6333,3.43
Ex_Tips_2024_06_30,3.65,3.66
Ex_Tips_2024_06_30,3.6667,3.79
